"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 16 08:08:19 EEST 2020","Wed Sep 16 08:08:24 EEST 2020","4371","test","test_add_contact","","","","test_add_user[None;nmR7091;srnm67pk570;address002828102W967A2;mobileV;homephoneR46;workphone5108908;second8;email545313C40;email26805l482;email322182;None;None]",""
"passed","Wed Sep 16 08:09:20 EEST 2020","Wed Sep 16 08:09:23 EEST 2020","2978","test","test_add_group","","","","test_add_new_group[None:nameWdeZb :header S9rIV95:footerj4di ]",""
"passed","Wed Sep 16 08:10:09 EEST 2020","Wed Sep 16 08:10:10 EEST 2020","1284","test","test_delete_group","","","","test_delete_rand_group",""
"passed","Wed Sep 16 08:09:17 EEST 2020","Wed Sep 16 08:09:20 EEST 2020","2386","test","test_add_group","","","","test_add_new_group[None:namesbobS:headeriF:footerkpQeR28lBYvQOvS7aBA]",""
"passed","Wed Sep 16 08:09:27 EEST 2020","Wed Sep 16 08:09:30 EEST 2020","2832","test","test_add_group","","","","test_add_new_group[None:nameFHI:header7y5i tif:footerorwe2  3UVkQzqs aPO]",""
"passed","Wed Sep 16 08:09:12 EEST 2020","Wed Sep 16 08:09:14 EEST 2020","2164","test","test_add_group","","","","test_add_new_group[None:name QpG:headerWHENX lWtPQuUe:footerS7 k B8  DWWuNEH]",""
"passed","Wed Sep 16 08:09:10 EEST 2020","Wed Sep 16 08:09:12 EEST 2020","1846","test","test_add_group","","","","test_add_new_group[None:nameEyBF:headergXe4h:footer0XAZ  d]",""
"passed","Wed Sep 16 08:09:00 EEST 2020","Wed Sep 16 08:09:02 EEST 2020","1690","test","test_add_group","","","","test_add_new_group[None:nameDRO :headerrvTzqnz:footerM9R]",""
"passed","Wed Sep 16 08:09:08 EEST 2020","Wed Sep 16 08:09:10 EEST 2020","1843","test","test_add_group","","","","test_add_new_group[None:nameTHOt FO7:header0uNJmWb:footerqaTAdS]",""
"broken","Wed Sep 16 08:10:33 EEST 2020","Wed Sep 16 08:10:34 EEST 2020","1101","test","test_phones","","","","test_emails_on_contacts_viewpage",""
